Locality,Latitude,Longitude,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type
Kankarbagh,25.600910560278308,84.98462893850066,-95.06888977633596,32.26132915688779,28.02176541240374,5G
Pataliputra,25.744311764361942,85.23083312262318,-100.10191623631076,12.590440868200508,40.20549022694476,5G
Ashok Rajpath,25.438934417117256,85.1781192709574,-85.80728331378685,1.9842325861590764,125.82443882989584,3G
Phulwari Sharif,25.4268460557443,85.12153952839628,-91.78673388276266,1.0817372325329575,116.89350630721646,4G
Pataliputra,25.62679951025056,85.04888047233642,-86.42701404390581,2.1945561645108613,198.62569958668152,3G
Bailey Road,25.476419648988003,85.11313913080281,-93.53166988195268,26.405549062836226,32.55860368075346,5G
Kankarbagh,25.52823026123157,85.05166311307622,-91.95507929382212,4.7104720882525815,74.91238489244701,4G
Ashok Rajpath,25.705364833870917,85.11599116180813,-82.81934177344415,2.641722946306705,171.84572708365536,4G
Phulwari Sharif,25.65482630487179,85.1631456842027,-90.2980305861247,1.4034609246604717,168.4571547879833,4G
Boring Road,25.45603304554996,85.06782614392918,-87.68278625251112,2.501003849530627,179.95371309195156,4G
Patliputra Colony,25.48690591595144,85.10751142983233,-88.0108328886769,1.4580507818495927,154.2849310613409,4G
Fraser Road,25.70627418394192,85.02788748876068,-84.73889431555999,1.7576431311138314,145.70002192816784,3G
Kumhrar,25.658352346783047,85.09594129083105,-93.7893655197685,4.5914568812099095,71.17984312102415,4G
Boring Canal Road,25.635816474323267,85.15962772265983,-93.95841928103432,9.893888392736342,91.94490432229672,4G
Anandpuri,25.533589472441,85.2243296366218,-90.5031476803986,9.429183074575109,79.35341120682835,4G
Anisabad,25.64658702858441,85.1365690403172,-88.18077482183836,1.7946362309151958,142.67889053367497,3G
Anandpuri,25.751444968128386,85.08219492481349,-94.4717806254678,1.5446037094405989,189.74304098188844,4G
Danapur,25.665229711333737,85.18889829249056,-89.9479979740195,2.613700297925172,196.26493185548748,4G
Gandhi Maidan,25.500720802536023,85.07809673112084,-89.7537255174982,2.6613090131304995,134.51921448812757,4G
Exhibition Road,25.62822155757785,85.07984583390791,-85.58789893288886,2.645167751823348,152.9661678655081,4G
Phulwari Sharif,25.458399766706496,85.23059473816535,-85.39429850214107,6.632423936979863,52.34829833875276,4G
Gardanibagh,25.59165725339038,85.16923763851187,-93.82000121661336,95.97126814511311,16.18688563532945,5G
Boring Canal Road,25.641304683777136,85.11060159278709,-84.30197092625862,2.580027117583712,169.05602324456407,3G
Kankarbagh,25.761764925476403,85.07611511134735,-94.48261117343408,99.94181496092514,32.23226325748719,5G
Anisabad,25.656712076520467,85.19681774137523,-92.13762674409348,9.194988495662969,76.51325663174501,4G
Kankarbagh,25.487938909701143,85.28235232419495,-79.60918142706247,4.901808797483028,69.91436919878177,4G
Pataliputra,25.623453732510143,85.28280416966757,-92.6014837762801,8.585925255003684,62.94913258009069,4G
Bankipore,25.62730571599808,85.12846440464956,-91.98387618530587,2.938205260281623,188.37858849634256,4G
Fraser Road,25.64360237106734,85.0959878906563,-85.50434468687588,2.7043870666940157,103.5422368418545,3G
Bailey Road,25.42838934545828,85.14265495824709,-86.37002092633098,2.142637883839148,166.21120101065645,4G
Anandpuri,25.42204582050677,85.17552552694843,-94.82052725116152,84.32350755082864,15.154794698937808,5G
Gardanibagh,25.58070625442857,85.20059390554381,-92.3098882260158,40.76849494348175,35.304875725357924,5G
Gardanibagh,25.49098299538641,85.23012025261295,-84.85613784915068,1.0442471030579945,132.3610219149541,3G
Bailey Road,25.51040383797313,85.01525476400202,-104.233862172357,38.86684663943147,38.97690690456468,5G
Rajendra Nagar,25.550155215611763,85.29186455723779,-92.26667765004042,2.841695695631373,161.6650314520738,4G
Kankarbagh,25.47666514194226,85.22804932514069,-102.91951411742862,72.54836975138883,44.40489588756818,5G
Boring Road,25.74072996306364,85.22124667556868,-82.71875603156711,1.1571569943100417,139.6923276201596,3G
S.K. Puri,25.68430189982257,85.09870187690895,-86.41922711988907,1.678900385085612,181.4825113746512,4G
Exhibition Road,25.70800836869413,85.16965723680794,-87.45931279327212,2.1107271018752627,171.92017782722638,4G
Exhibition Road,25.48449180140214,85.0699019114649,-90.42156770174932,9.113962666571624,95.03509320056293,4G
Rajendra Nagar,25.550487309877493,85.15577248582407,-82.87668314813342,9.09524930890758,72.26526275013327,4G
Ashok Rajpath,25.496041659462865,85.17029585874322,-91.0370017703209,1.4974285451752598,161.714498660403,4G
Bankipore,25.568057334277327,85.10611863004411,-88.83156539311982,50.697912545509176,47.3550007011162,5G
Fraser Road,25.674576197803272,85.26870673441151,-84.17029254221522,1.8875004386091423,186.8142254377505,3G
Bailey Road,25.548892053434532,85.0674543074874,-86.95214061203527,2.3339430339818144,157.7185236711748,3G
S.K. Puri,25.71690622827473,85.01917636032886,-88.55121735812313,20.81881498335476,31.779563918433983,5G
Anisabad,25.72033410370315,85.09787671921957,-91.04559969982049,6.3542731434081166,51.282103290321785,4G
Phulwari Sharif,25.75485768886001,85.20156110084059,-89.19255469853162,1.3326632154862843,161.7351757412974,3G
Kumhrar,25.712557614281916,85.23174341553455,-90.3809803129014,4.296599125831868,95.88762445856888,4G
Rajendra Nagar,25.49095563285224,85.27333170016011,-93.4290976789669,8.123706473099443,92.55871304263854,4G
Fraser Road,25.58789406068608,85.28099217922406,-88.17489881487738,2.188952670372346,149.67668588591692,3G
S.K. Puri,25.61832402989296,84.96832891318978,-92.32672365579458,1.453312804453976,135.49963058319372,4G
Phulwari Sharif,25.444156554179745,85.17091299909087,-94.05902692277148,2.160950013433349,108.87673941077684,4G
Gandhi Maidan,25.501577705688742,85.04670764169371,-88.2992846309012,7.259404888618539,75.34192159102413,4G
Danapur,25.421831394935808,85.14088711150048,-88.65736804140441,6.96602753519993,69.55213815290873,4G
Kidwaipuri,25.439550909075663,85.05865339597922,-77.60536709242695,2.529619601805991,117.48386272604124,3G
Exhibition Road,25.475381175835903,85.18502596773095,-91.20056113756996,2.70289727510253,100.03325061204896,4G
Anandpuri,25.573795595409614,85.0842098085337,-83.91531144894103,1.4577892096932272,123.2645538562681,4G
Ashok Rajpath,25.536784348046943,85.16977848316169,-84.6068797362944,4.81869246121524,88.01449115610674,4G
Danapur,25.54275653742165,85.06531043136114,-101.85950571465678,51.3502091565388,41.40066175348228,5G
Boring Road,25.432726109663434,85.18933980255879,-89.84068419363022,1.3003380016340833,173.74337687214856,3G
Pataliputra,25.536731285035543,85.21687168553916,-100.38330467262163,59.4654439347032,43.2213782561936,5G
Gandhi Maidan,25.519549893479383,85.2904667482119,-97.1145233328392,1.5856440734019297,197.99703293588504,4G
S.K. Puri,25.614339407642635,85.13663475122105,-88.78349531732076,8.925600370831946,95.94632668197772,4G
Boring Canal Road,25.657356099859346,84.99817028853391,-93.67050760093076,53.955471705844566,16.027044308395094,5G
Pataliputra,25.501615144337464,84.99668892299758,-79.99028648694578,2.2319709005203583,118.8024734615416,3G
Boring Road,25.655071623635926,85.22029898623127,-93.0266423508851,52.32871486916071,30.082008539537885,5G
Fraser Road,25.516074361967576,85.04042658659938,-90.8789612136115,2.4058868819573536,105.2803960468528,4G
Anandpuri,25.608353407682092,85.0949815016914,-96.584108806459,99.85127602536546,47.32453325374231,5G
Gandhi Maidan,25.46506129400601,85.0603974589343,-89.43645501235518,5.091079015121411,97.03396225576702,4G
Phulwari Sharif,25.54169399035044,85.17626391520977,-97.0737574622514,2.3139103125342797,195.6614621083458,4G
Anisabad,25.48291240742933,85.20709278469481,-95.7541781030328,75.92038586542807,31.932823349056967,5G
Rajendra Nagar,25.604894801150955,85.206645279048,-90.94799668424064,3.621881715612951,84.18770527885212,4G
Bankipore,25.43246495562692,85.17892521477638,-98.5538005177459,56.12523838932985,42.25614468931358,5G
Anisabad,25.56349209193079,85.18346210271547,-89.70491956845245,2.0774035959054284,149.78125080342903,4G
Danapur,25.538714355969145,85.08970742870885,-85.79664051405527,2.9670429454304443,114.07115280487584,3G
Pataliputra,25.69621050657921,85.13572519562781,-88.0662980475416,5.992427815444306,58.11167028912397,4G
Kumhrar,25.537276306104253,85.27106723674703,-84.81202181375556,1.6704160947417457,117.37615931357438,4G
Exhibition Road,25.715379348393977,85.23332479077294,-95.11434031149442,71.76944770174876,12.78564592649623,5G
Boring Canal Road,25.629252902342053,85.11166889368087,-93.63651103235031,60.4396567882396,14.439578768539242,5G
Boring Canal Road,25.757664425374237,85.11881243805215,-87.39847284511492,8.086696944492264,65.23755476930667,4G
Patliputra Colony,25.71478792352799,85.02029444730039,-82.29259233249465,1.370660359057429,107.89691621908288,3G
Kankarbagh,25.616109151938662,85.11373098063866,-89.14219666411344,9.152852301975871,78.58861760241611,4G
Rajendra Nagar,25.60056943207747,85.20248870021794,-81.31622913000875,2.9010621051724077,160.06510665483555,4G
Ashok Rajpath,25.475461997005745,85.1569345376724,-85.52765743729701,2.033145256891958,100.55057991604208,3G
Patliputra Colony,25.69079034564265,85.19651214213637,-84.60358983599205,2.75972535472232,157.47795542644153,3G
Anisabad,25.57481023301359,85.04163502665517,-84.67753185796164,2.6423965651004533,100.15651051914728,4G
Kankarbagh,25.46133584001058,85.21875694173931,-88.27119723232853,2.187321582417077,101.01311840277434,3G
Danapur,25.496871516063504,85.14617448814118,-80.76720286076119,1.798737496789382,191.01346367821344,3G
Kankarbagh,25.5446327221519,85.24469599912415,-90.31308265521366,2.0516251977466475,151.16813865815118,4G
Pataliputra,25.6230296124982,85.18821530668203,-91.3824380587868,6.399127897615784,51.37683599347327,4G
Patliputra Colony,25.552320496400757,85.10439583305329,-96.15866607709329,5.38270972978154,77.07038036737926,4G
Anandpuri,25.622492274159622,85.07392711850818,-95.94510811980118,1.8035576013086485,199.3848388899698,4G
Anandpuri,25.446302806629664,85.09027241834129,-86.99645624407064,2.754181162036378,194.4042093825398,3G
Kankarbagh,25.68475961798795,85.03551551072235,-86.50732227722614,6.191854930319559,72.17279181909521,4G
Exhibition Road,25.72139462541039,85.07412696724786,-81.04102784028854,2.2889405542420675,181.97978049847276,4G
Bailey Road,25.60884072936435,84.99252393942078,-88.15971757461026,2.400068545544209,110.44041297480814,4G
Gardanibagh,25.577117574766373,85.07126742808096,-93.99211934871887,1.5620089978174272,180.34827432968848,4G
Anisabad,25.490753484556823,85.07572064188531,-93.05372536060004,2.109314696070191,163.7090837080905,4G
Bailey Road,25.467618528575592,85.05339119038017,-87.57534982112406,1.203784776132027,136.0233918800428,3G
Anandpuri,25.71633659408364,85.08024012697929,-81.62323668687897,2.4077141832686624,100.43632696503091,3G
Bankipore,25.69797652081952,85.10869080992852,-90.29213391927522,1.2219550491702962,163.44241452865836,4G
Kidwaipuri,25.657936383523506,85.21149341219703,-89.44140716237905,21.31518420930036,39.48386201728205,5G
Pataliputra,25.737697106075192,85.08978857402845,-107.81166829397657,57.78439105708844,33.80526699622726,5G
Ashok Rajpath,25.535605116361104,85.24075494265529,-85.5730832878005,2.546283747837343,151.7960527712579,3G
Kumhrar,25.650697607827205,85.0961826931326,-87.22940279430395,1.9681541394204032,174.7444406596694,3G
Rajendra Nagar,25.62182009347708,84.99856975953732,-87.39100841074655,1.5524746499503062,198.1653323852448,3G
Boring Canal Road,25.539235932189367,84.99878318340686,-94.35632046459122,9.705538847397392,76.482986197281,4G
Phulwari Sharif,25.707151353825697,85.22980766847851,-90.6232858973164,2.9028596207236648,199.4819293965951,4G
Bankipore,25.52260742667132,85.14804997988435,-94.22988476878324,1.916469300785668,178.13488406144063,4G
Rajendra Nagar,25.563630654422376,85.14127616056517,-87.24943422149937,1.0008855628744158,190.1383096641935,3G
S.K. Puri,25.494217888114715,85.0876201495793,-94.84468771712312,4.341150620143781,95.91195433377186,4G
Boring Road,25.532421541939865,85.16657499749645,-91.34617940466738,95.1810861835365,45.70232909945898,5G
Bailey Road,25.61702364081321,84.98613605528611,-93.8087152269574,2.751766167034114,153.90945527360088,4G
Boring Road,25.58665300331973,84.99146849822779,-83.73203480349518,2.518137878516751,160.9631011656902,3G
Phulwari Sharif,25.669230692011727,85.26897516500884,-103.74190828070432,66.5590642677099,29.274699170984665,5G
Phulwari Sharif,25.69314646560542,85.02043053380507,-84.60071879458965,1.061715808616145,105.18952995184108,3G
Boring Road,25.60923077715768,85.11342236675301,-88.05548923965074,2.6865561818728048,109.75143256408975,4G
Pataliputra,25.431743563893114,85.1360540074191,-85.00841616756831,1.500935797584998,162.4874099606999,4G
Danapur,25.5389705193425,85.2078897431039,-82.7466241920689,5.327193100040985,52.82928280733578,4G
Anisabad,25.63281463882261,85.26912924869104,-86.97229647265941,1.7952247571057411,126.42762631586392,3G
Fraser Road,25.44939229267244,85.17667766214713,-101.49790618463798,11.359961579302754,48.60061477817887,5G
Gandhi Maidan,25.482579771292905,85.02579243650148,-86.6810703284833,7.760783198128808,70.4075845433349,4G
Gardanibagh,25.436810772703645,85.2068169439325,-94.72989636976256,49.45464820276852,49.85049146099507,5G
Danapur,25.479160555341963,85.05969481214126,-84.61333670865285,9.66043497123751,91.92459169215124,4G
Kidwaipuri,25.73810537438192,85.05274925223857,-81.67910570109207,1.9086908461353105,163.0247219456158,3G
Bankipore,25.481468736347047,85.15943374588055,-87.43525335035572,2.854221257716855,110.53932181078052,4G
Pataliputra,25.594127056381613,85.23761850095559,-96.4917103233204,2.485061665680843,107.66358064752488,4G
Phulwari Sharif,25.520313176034502,84.98831235335015,-83.93970740054077,1.689562840145294,146.18434812751104,3G
Boring Road,25.519626048771293,85.24684523061585,-92.83831941899668,3.737418391369333,61.11806523740852,4G
Bailey Road,25.47587389415891,85.07697722757844,-88.77551473202601,2.065008132831964,111.53946421789172,3G
Kankarbagh,25.54749882445056,85.14520467334216,-96.31278116783712,74.31771474178518,45.26253819763028,5G
Gandhi Maidan,25.618966459483904,85.22953134194067,-88.54373188572634,2.7547009062656773,138.94049389788754,4G
Kankarbagh,25.573230067080928,85.01695687529943,-87.67426992480955,5.654585760263142,91.5683853110985,4G
S.K. Puri,25.61919914827536,85.20728149591724,-90.81294431722708,1.7815103046592742,115.8678873689685,4G
Gardanibagh,25.423054463813862,85.13000794150331,-84.61310002204378,22.02855232694662,27.754367536852044,5G
Ashok Rajpath,25.71550536426832,85.12481843643029,-84.31486806819001,1.1767698939690374,169.89488284873858,4G
Ashok Rajpath,25.6537665989936,84.99409717819339,-82.72963396003905,2.7160465420144586,199.76282974021564,3G
Exhibition Road,25.61447487203414,85.1258257437482,-83.16259361795919,2.52460524900192,103.89380166876656,3G
Bailey Road,25.608936429884334,85.24872236090448,-96.572030057768,43.43373492934908,34.741082348727424,5G
Danapur,25.54539612184232,84.9964027657861,-82.12513471088499,1.1396013092292578,155.46877097800862,3G
Pataliputra,25.54645826348696,85.02616324291856,-93.92104470519004,5.813210399235111,57.68455214221023,4G
Bankipore,25.649741254679004,85.2973376423289,-75.81415910378135,2.600146864153736,188.4583292921188,3G
Boring Road,25.499923924644577,85.10576754176296,-90.70709665246312,4.879935172175498,55.048905340888055,4G
Boring Canal Road,25.691613280252625,85.26649775336595,-96.194473195455,1.1529599109986262,198.67291015008487,4G
Bankipore,25.48178089670088,85.16762163033864,-83.11025541386111,2.983545761958499,166.42017130717858,3G
Fraser Road,25.662851380935155,85.05427521909678,-98.15772599327973,3.8626280300142737,84.92653126045685,4G
Kidwaipuri,25.633965807265707,85.08600709712073,-87.72595088722431,1.3656755597376342,182.5710951560667,3G
Ashok Rajpath,25.68629623211693,85.1379785022542,-98.57524091483312,64.02533144752333,12.140578516521732,5G
Pataliputra,25.54764858544931,84.98664666324886,-108.73752421362616,63.72196214919905,49.98230813001754,5G
Kidwaipuri,25.645232079532555,84.96567172662704,-97.49865088075816,50.41348911371133,19.4991422700903,5G
Boring Canal Road,25.69640763403276,85.18276457359856,-86.29637112797217,1.1750973280555612,128.28011306704997,3G
Anandpuri,25.582497556337746,84.96896589468523,-83.741521035357,9.39051703342283,66.98851211494218,4G
Gardanibagh,25.598686487933097,85.21042247863711,-94.38160361203694,2.936152762901467,144.67145272585202,4G
Fraser Road,25.490740273218204,85.26783589459919,-88.80643261373478,2.8183505281071715,131.38780765150273,4G
Exhibition Road,25.726657057082697,85.07679801822712,-89.73274046729038,2.399379818117417,141.08570918404965,4G
Bankipore,25.59225497731639,84.97794600799942,-85.6923086988286,2.876631457302632,181.87402294840507,4G
Bailey Road,25.555830452906267,85.12319117142694,-85.20483286791801,1.964264197839684,184.09087104029072,3G
Patliputra Colony,25.50052968688853,85.06809441522225,-99.25685225156406,52.803657263980746,26.309924200109293,5G
Kankarbagh,25.57762774079374,85.172804903605,-89.1150210916914,1.2117486364262586,135.4897683486554,3G
Kidwaipuri,25.65779910752384,85.08227684308203,-92.83776400971018,1.9292263376179415,137.96167644516703,4G
Ashok Rajpath,25.47782497730023,85.18898668912496,-83.24897099997139,37.76214533405356,32.92168802476063,5G
Bankipore,25.458447375129055,85.17756298274364,-100.6573292842978,3.1803871913504578,80.17644032505605,4G
Boring Road,25.650685217640152,85.14352068019959,-91.8400686441052,3.537652087484969,61.74971387673458,4G
Kankarbagh,25.565236017825185,85.05291983054616,-93.81023249127423,1.7953688288661094,197.38004133571496,4G
Boring Canal Road,25.561048480212207,85.27593282166832,-91.6132023915679,14.616446408309402,29.70141522857157,5G
Patliputra Colony,25.522273865542385,85.2547559480615,-93.1001367576949,4.354047400695378,82.0752240628126,4G
Gardanibagh,25.62761902992608,85.13543965245873,-83.18432889694523,2.155614100502169,186.61015453778347,3G
Anandpuri,25.751517096570684,85.17816427063501,-81.6537001078566,1.9844646303648168,119.50089804386158,3G
Bailey Road,25.75317322858819,85.07911714828998,-82.79313400826275,1.858124738605332,127.59226943805469,3G
Fraser Road,25.49007192938533,85.15172022142907,-82.87280436491577,5.879621999888125,56.31932112028336,4G
Gandhi Maidan,25.709307440771877,85.19127773898431,-88.49471289187527,4.054812409005836,92.57971596521097,4G
Gardanibagh,25.70862171622071,85.2555834722077,-88.75513640819405,3.942033869728754,54.720944883024046,4G
Kidwaipuri,25.64505468712032,85.01405376602189,-87.90879822621218,44.9853713088892,19.61196493801467,5G
Bankipore,25.661667788918997,85.21252471661678,-102.9440923766011,76.46552906594668,36.66468339517489,5G
Anisabad,25.53557274432894,85.14555815058173,-90.3929290966276,68.67107790062146,43.29668733641011,5G
Bankipore,25.57071458632159,85.06285922720883,-93.01565411746658,5.361119855272404,97.07884263669668,4G
Kidwaipuri,25.69627040806493,85.17957238819524,-95.00573394537732,19.570356761340445,14.565598772385284,5G
Anandpuri,25.503196039567456,85.12305088527538,-92.8882719719825,5.810232453623303,66.90422046831307,4G
Kankarbagh,25.676568697945125,85.24868356689471,-93.08294823880344,1.3028910438707146,143.2771484341819,4G
Gandhi Maidan,25.672343508391087,85.29643869437868,-91.76118714843024,7.223339373484244,90.08421465956523,4G
Fraser Road,25.52044021239866,85.0439131428669,-85.53226131462549,2.5042573990871424,190.5538837928901,3G
Rajendra Nagar,25.531314161271496,85.17466494575639,-101.77764749788132,66.30857104845488,32.86430597931776,5G
Fraser Road,25.653166997926096,85.04341276946178,-90.92593994400085,1.0516187857263637,155.3290639623,4G
Patliputra Colony,25.680679891279265,85.18322428245229,-90.04804829319785,2.9680630285582605,179.64843893295807,4G
Bankipore,25.65571291554692,85.18143897766525,-94.73840726088758,96.684312435856,14.590143976553415,5G
Danapur,25.62006755254636,85.29929908796984,-83.52751449814572,2.2614348889838585,173.96828977631083,3G
Anandpuri,25.712543704670583,85.27231838475075,-96.92013495774115,1.2551403491427418,140.90851486348762,4G
Bankipore,25.58464381937638,85.27220590956483,-79.35017269776681,2.48947345565842,141.2403060467866,3G
Boring Canal Road,25.5848269424712,85.04201282550609,-87.03658538045732,1.257192971921105,157.38505979750266,3G
Pataliputra,25.645339567644527,85.00856535438967,-96.55675713388013,65.04817774509931,21.829902503800827,5G
Gandhi Maidan,25.730254989200247,85.15013302670052,-80.98923868730586,2.597311560713273,193.2752939060313,3G
Gandhi Maidan,25.64866655034257,85.20199985122018,-81.45230281881739,1.418911539019022,141.62627806879073,3G
Phulwari Sharif,25.63452050692484,85.19464363194818,-93.9432152346713,2.343417718488121,172.93098004772062,4G
Exhibition Road,25.502318267903267,85.02440173519832,-91.13662039171518,5.374684628216855,53.121566363889016,4G
Gandhi Maidan,25.51663540804201,85.03678827767263,-93.20682017059588,3.445793372517617,58.8563572099127,4G
Anisabad,25.629563541565688,85.31000594364896,-100.29975039492358,44.505742695243306,16.731143540308512,5G
Gardanibagh,25.631996733617992,85.12822851370558,-96.92119009231835,72.5668719589059,35.185133797543706,5G
Kumhrar,25.482419377501643,85.15600399549285,-83.4345737799438,2.3262924979504174,159.53663701568726,3G
Kumhrar,25.685651772930203,85.13854558312805,-102.04553463877988,10.020433439642998,46.60006150990109,5G
Ashok Rajpath,25.72938524316816,85.06081822116715,-91.63454365014668,4.629098442408862,52.69152624542296,4G
Danapur,25.718591294355527,85.12732675906572,-86.3613938417647,2.7730050532838053,139.8642494213064,4G
Boring Road,25.521054805079253,85.11101683434066,-98.55093474720856,30.153212901693056,24.53091185595598,5G
Anandpuri,25.69587170690787,85.15094951647181,-88.05999483390708,6.812416097749951,53.89282598043848,4G
Rajendra Nagar,25.447088046804566,85.19005544187489,-91.87128873132906,2.382493327571978,116.75665393045064,4G
Boring Road,25.53483577566388,85.18525237501913,-84.89882382471362,2.6583012805682795,150.81417186651942,3G
Ashok Rajpath,25.6679663951244,84.98145204573278,-79.3507532407908,1.6274062495143125,163.56453219526134,3G
Anisabad,25.64260947784792,85.04089393380708,-85.3885942231673,1.9450308856391705,137.82245152433447,3G
Danapur,25.609388901165016,85.2692480409639,-89.1557712685219,1.0120940863679568,148.38602188643114,3G
Boring Road,25.545353809944384,85.28306168775687,-88.29210495691319,2.519647316856777,133.88234824228073,3G
Danapur,25.6540208668753,85.28988406339253,-89.4307747825957,2.8190969460242767,156.89554832818507,3G
Pataliputra,25.70123556241939,85.17335319648058,-90.63496690707748,7.083950633129046,73.21019744760633,4G
Patliputra Colony,25.42592526526343,85.11091029175263,-86.85140552530717,2.236581597509576,168.0672373225737,3G
Rajendra Nagar,25.435250903697963,85.05846035954258,-89.8946886642294,6.480777206136146,58.92080482817479,4G
Anandpuri,25.711067470872027,85.24621055798637,-91.33273558429458,27.683827026059003,18.46983448209678,5G
Boring Canal Road,25.473570096258097,85.08596578691206,-87.8114332997581,2.423555889981899,189.83552751676652,4G
Fraser Road,25.657413993827912,85.28589199680619,-87.57506606235827,1.7711071288026277,150.66857908540027,3G
Gandhi Maidan,25.62870047008381,85.14876106881351,-95.53059757784666,17.68627271464495,48.89845560111609,5G
Pataliputra,25.653352824135343,85.15487566256897,-83.18139597628746,2.8875562227367384,125.08903165341049,4G
Anandpuri,25.56624148402118,85.26371847669787,-82.41332946433907,1.911299098879755,148.20173397769327,3G
Gandhi Maidan,25.698600481324984,85.21310322343217,-102.08113527896325,76.9091656560575,31.31308149605577,5G
Anisabad,25.60528619071444,84.96665853032243,-86.36075911018571,1.3097151481576426,137.2999835566863,4G
Gandhi Maidan,25.690106379708038,85.1605833831533,-89.39380618975187,2.0767262042020453,191.32296862792705,3G
Exhibition Road,25.76985365972038,85.17394049428096,-95.66084677822184,44.85008270891863,21.310618282403944,5G
Boring Canal Road,25.58835819773751,85.01792392249773,-89.71088413846284,9.470166969367906,61.51933196929447,4G
Kankarbagh,25.58858281607589,85.12321280518725,-94.80748177182596,77.52976982379604,22.428613132457897,5G
Gandhi Maidan,25.47851105971873,85.20385430680201,-87.7970745969906,88.66123041778441,18.828503437776742,5G
Gandhi Maidan,25.559046191704528,85.1722802951484,-95.31674053337952,9.237980642554565,73.01776865674134,4G
Boring Canal Road,25.600281658554,85.1086679388628,-85.18356531333707,1.2238691562695785,160.95058910049832,3G
Bankipore,25.58056139011767,85.30662411469693,-89.94059157487854,1.5580165806955932,140.49685873761885,3G
Pataliputra,25.760209771447688,85.07745158283284,-91.97703827648748,33.283985267407104,23.88768670248848,5G
Anisabad,25.64976308820611,85.23759977413441,-92.0703442098651,5.067954254196355,54.52797338004602,4G
Bankipore,25.585406198976145,85.26493765318781,-96.49129743657454,26.68679653366489,17.282525155274215,5G
Danapur,25.764703946432988,85.09166245609241,-79.12403569489872,2.674899190166924,132.29896831768684,3G
Rajendra Nagar,25.56533939992705,85.21095433998165,-89.42492207073596,2.0281638415323706,177.93651703351196,4G
Anisabad,25.75157778001838,85.21495083644328,-96.07381463586836,1.507969506752507,187.76921788278483,4G
Anandpuri,25.498126796417484,85.25561884500219,-90.35695466616968,2.011851600292788,177.7727910067793,4G
Kankarbagh,25.54999397734723,85.29336325843629,-89.35646246803293,6.720354723972746,72.89816072447678,4G
Exhibition Road,25.716909480708345,85.25981427532095,-93.69037066731012,1.6456195868957006,125.81076431734148,4G
Bankipore,25.73433961909052,85.22085694672771,-90.22666507790582,2.090855900423426,113.3416335523207,3G
Gandhi Maidan,25.521157323657004,85.06778052986868,-92.18416719526688,4.802354515447285,56.78307335801889,4G
