Locality,Latitude,Longitude,Signal Strength (dBm),Latency (ms),Network Type
Patliputra Colony,25.507681650738007,85.23947642233486,-92.27124745600398,41.51247215779623,5G
Phulwari Sharif,25.68416586890657,85.29018195438199,-95.79563031337084,52.92049392201022,4G
Pataliputra,25.65356144777241,85.28781846030535,-83.48638876953999,101.90297565943968,LTE
Kumhrar,25.57882514912912,85.06003487760631,-92.55187384704573,150.35396276453824,LTE
Pataliputra,25.48088431918524,85.2444619491832,-97.34868718093932,22.830090758905147,5G
Ashok Rajpath,25.440539327345903,85.18386662056413,-87.09259628363249,125.97645364090856,3G
Bailey Road,25.65193931113425,85.13188384859059,-86.66695595676352,53.80069688048451,4G
Patliputra Colony,25.66850753866036,85.11416224475252,-93.56955535742584,49.26994698518896,5G
Gardanibagh,25.73569120176568,85.07688236490249,-91.27257806677169,108.7124591313021,3G
Phulwari Sharif,25.60661462854597,85.24441124833274,-92.75352289188145,182.07625450680536,LTE
Danapur,25.676742985241585,85.11549519366405,-87.14801436548254,61.24232472739561,4G
Boring Road,25.71841681047637,85.09204734546076,-83.35878776844355,139.1104339512817,3G
Phulwari Sharif,25.65407868889945,84.97084015805686,-81.88304764851291,129.77491826461505,3G
Ashok Rajpath,25.4842888545117,85.27951591790233,-89.01387790775264,187.39482277824231,3G
Pataliputra,25.623194185595537,85.26029321060163,-93.51105837473702,75.92746096012185,4G
Kankarbagh,25.58046600844216,85.08272291636776,-79.2444380731826,186.74182445975768,3G
Danapur,25.441833592035568,85.07794086692178,-95.59873329372822,10.69656110652133,5G
Pataliputra,25.509711892293694,85.29093905088138,-89.75800430434116,177.99404628395212,LTE
Anisabad,25.61651984269272,85.06482035202603,-96.06164531650175,77.1507860649726,4G
S.K. Puri,25.57197454625059,84.9864560086475,-90.31253704480902,58.748860837783305,4G
Kumhrar,25.67035157073513,85.03878349613194,-89.84754470716219,22.850602493777323,5G
Danapur,25.725645934307483,85.21843824719105,-88.673601889133,145.0436049102554,LTE
Patliputra Colony,25.59470350352296,85.05042157874219,-95.29174072960488,24.486021925614736,5G
Rajendra Nagar,25.69624780913048,84.99463550992319,-88.08893570027818,80.58104914590812,4G
Phulwari Sharif,25.467991772876537,85.21230133373507,-92.44871011252,121.14320557901831,LTE
Bailey Road,25.57534595819377,85.13529743137912,-82.34423788831029,180.8122606282757,3G
Ashok Rajpath,25.58576718034797,85.31355964436443,-94.18108612428132,90.25224011295884,4G
Kumhrar,25.63907091925585,85.02498837052012,-82.28874801024571,69.58332714394044,4G
Gandhi Maidan,25.61292264905728,85.19579879165975,-85.43418168671492,83.27562913545822,4G
Anandpuri,25.624529418611075,85.14412146068473,-89.08736696934164,172.4282997084742,3G
Ashok Rajpath,25.470383662534758,85.06901800910764,-93.78905326690024,62.823290438258105,4G
Boring Canal Road,25.47598595764593,85.21419261377793,-84.845545830497,199.31444359189567,LTE
Pataliputra,25.640500918416425,85.17790163217171,-95.09888386774226,34.63748060636692,5G
Danapur,25.469508514275613,85.05521628961668,-92.18683923606946,40.64281882928013,5G
S.K. Puri,25.615832383777104,85.21639225530625,-85.25035595803395,92.27937748242503,4G
Anandpuri,25.575979009195454,85.01931848657745,-91.88720550197162,18.39999556892932,5G
Anandpuri,25.589313566522844,85.22594130943475,-86.03595535165567,86.09599521836634,4G
Patliputra Colony,25.45724207442332,85.20144053586004,-77.6046451511823,184.53914444435216,3G
S.K. Puri,25.688688045204284,85.07122116743065,-86.94454340091022,115.041206058349,3G
Phulwari Sharif,25.509703201778976,85.00987993561428,-90.56308817929433,18.58226085320009,5G
Kidwaipuri,25.63451468137485,84.9686542429985,-93.759459303109,22.61926149000437,5G
Pataliputra,25.642016639754733,85.10861035711285,-86.67730601577628,36.23823403499752,5G
Bankipore,25.6296171227066,85.18893940344408,-92.2076613928363,77.30009104583903,4G
Anisabad,25.64574202876787,85.10762320830926,-96.05161842867712,92.92625959536412,4G
Danapur,25.496871516063504,85.14617448814118,-80.76720286076119,191.01346367821344,3G
Gardanibagh,25.537426628575325,85.01679757407098,-87.03019038660281,136.15465042936043,3G
Boring Canal Road,25.583273357417067,85.31364789664592,-88.51095991132794,116.7728700669627,LTE
Gandhi Maidan,25.44594835926543,85.13498502190534,-89.22474283130056,39.64384014207352,5G
Danapur,25.669313365553883,85.27953583764898,-88.39849707296077,101.99939920083432,3G
Boring Road,25.734788677506828,85.10804511872608,-89.10694445712963,188.048718264694,3G
Anisabad,25.68604346961083,85.09785159905537,-85.72374751253223,151.41699086702346,3G
Patliputra Colony,25.48690591595144,85.10751142983233,-88.0108328886769,154.2849310613409,LTE
Bankipore,25.532107452145155,84.99645857498258,-83.58740913817076,60.25612477023935,4G
Bankipore,25.69858511565681,85.08601948144944,-86.55942602583856,171.4251648188575,LTE
Boring Road,25.65194378921321,85.02807543354895,-87.09674509230784,79.50005685712215,4G
Bailey Road,25.44065361829162,85.14935788455864,-84.39647345219078,39.67648737256407,5G
Boring Road,25.63475187043544,84.9793045401314,-88.07398751984286,131.98807204028475,LTE
Bailey Road,25.590897024572477,85.01520947937045,-93.79120198803396,36.90561565687356,5G
Kidwaipuri,25.632061911945485,84.99061189936796,-87.30068217055924,154.05490600555763,LTE
Bailey Road,25.756965686952547,85.18849421834214,-86.96665274665914,174.5648446556841,3G
Boring Road,25.6321740944774,85.00590044667237,-93.3808241722184,139.8165606055099,LTE
Bailey Road,25.69756197516415,85.07610561382903,-88.56305248745521,165.1112079009141,3G
Boring Canal Road,25.471713800562085,85.14707630528876,-87.63307190288558,97.87246058904364,4G
Pataliputra,25.47072700745883,85.03786221781463,-83.73665953182903,178.42095145464074,LTE
Patliputra Colony,25.59875882490487,85.01526081582773,-85.36165347517907,161.59272548355915,3G
Rajendra Nagar,25.531794817802798,85.304198559045,-108.29520541591091,21.66945582168188,5G
Gandhi Maidan,25.66422631152824,85.24731633536355,-91.23844045002862,179.29320034754056,LTE
Phulwari Sharif,25.52370857144648,85.00658382579999,-88.2133991915006,195.06437849446087,3G
Kankarbagh,25.756696293108007,85.09237197282127,-89.6986216766363,150.98436188873552,3G
Bailey Road,25.682170007824126,85.19489755037431,-98.3870783385738,44.21842336044029,5G
S.K. Puri,25.467437243737542,85.15601948132674,-83.7123251771301,146.65993700061694,3G
Exhibition Road,25.725494852404797,85.19113652968448,-92.21982943786998,27.81954722738796,5G
Kumhrar,25.710003369617112,85.0233744212288,-92.6648806397002,90.46284478666075,4G
Danapur,25.56926536245293,85.04691625226721,-91.60962594973591,181.30412293563688,LTE
Boring Road,25.66628976778184,85.03517015062161,-96.4848299070767,39.72185578608202,5G
Boring Canal Road,25.736165673971893,85.04658404456539,-85.12877033281414,153.22201014141248,3G
Boring Canal Road,25.577318374779217,85.11478386324433,-83.64729452388522,187.81982564469683,3G
Kankarbagh,25.50170815311149,85.20871245067758,-85.71565427847767,82.43727460512929,4G
Pataliputra,25.431699384153333,85.155487029319,-99.30292589768008,38.33070729774868,5G
Kankarbagh,25.633037117435205,84.97788991809249,-85.21852471524839,169.34805508865233,3G
Rajendra Nagar,25.66399344283692,85.179703721889,-87.45088549713554,130.77517352415168,LTE
Kankarbagh,25.71508133066773,85.02726604084565,-90.76916064291817,35.9770740310709,5G
Ashok Rajpath,25.485064804489944,84.99549991536546,-97.82079931622197,43.108493812354986,5G
Ashok Rajpath,25.547753776855924,85.26557694135067,-99.590042631045,137.8761173345028,LTE
Ashok Rajpath,25.59622887755985,85.00851733247664,-91.06273975993028,166.9812532067473,3G
Kankarbagh,25.44845771851123,85.12191054605788,-95.42833470722924,25.66396194291008,5G
Exhibition Road,25.587525056154615,85.23681102435994,-99.97776319167644,12.192222944724897,5G
Kankarbagh,25.714446849730308,85.22300050692861,-95.53316913005992,25.550967394341377,5G
Boring Canal Road,25.59853668568744,85.06274340123522,-93.05994585984006,172.16799988405342,LTE
Fraser Road,25.52795781274857,85.11327749976178,-98.59634058841522,36.673535161894335,5G
Exhibition Road,25.59378761601472,85.16025712570314,-84.00101691565375,104.93835423017332,3G
Gandhi Maidan,25.57112248115212,85.18862673955053,-91.72941787437806,90.60306672688264,4G
Anandpuri,25.725376403174373,85.20645827523322,-93.94760051627252,83.35015522427683,4G
Exhibition Road,25.59602479929716,85.29914756302216,-93.99542139590764,27.478795041837035,5G
Ashok Rajpath,25.73612963818541,85.09067094577874,-101.7916843937279,17.220389012974792,5G
Gandhi Maidan,25.52618899239452,85.1333617500383,-92.48339795593768,151.702014775966,3G
Anandpuri,25.696095096910465,85.00855621800581,-99.88430332523998,43.18748259808859,5G
Kumhrar,25.596838835445787,85.1509704252095,-93.89650255605324,46.94038186333284,5G
Gandhi Maidan,25.73508379968574,85.18053192389291,-106.4067079668612,36.0923431931629,5G
Boring Canal Road,25.72103921498084,85.03472912167933,-89.81439187819329,147.2408014323321,LTE
Exhibition Road,25.53591825949093,84.99524590689047,-96.07510631448504,26.809676128639545,5G
Phulwari Sharif,25.613753822391075,85.05448667112533,-90.17353234371464,27.149351431424705,5G
Gandhi Maidan,25.654642734838852,85.21485670052904,-90.02139802414185,175.37405731883018,3G
Kumhrar,25.50028219476024,85.05330236059079,-89.92266220731267,174.71074085835505,LTE
Boring Canal Road,25.43010641712196,85.0896745068457,-82.79958990285392,150.6324405975447,3G
Anandpuri,25.475675534644008,85.13748201401808,-91.24599039106634,140.92971550267328,LTE
Exhibition Road,25.645426210162206,85.08093611554406,-90.12599739335224,52.20868173807756,4G
Kidwaipuri,25.506249854307487,85.28219257442919,-90.49334663279134,90.65079426439196,4G
Exhibition Road,25.752680609030364,85.21670188204023,-92.87351847843172,66.04002525581491,4G
Danapur,25.528889879393702,85.18023642785737,-87.46720244532932,36.48791815308497,5G
Patliputra Colony,25.56840467346665,85.08623017125814,-83.67045648399109,110.6737058584688,3G
Gardanibagh,25.59501852211709,85.14487005320976,-91.1457876828184,11.594478936432887,5G
Bailey Road,25.538178927435727,85.28015325244782,-87.73033425542884,196.4277290989053,LTE
Gardanibagh,25.70712873137736,85.2729459768889,-102.94322084298328,35.93991004676428,5G
Bankipore,25.510238634932733,85.18084920651657,-99.02390878955858,41.93532396805436,5G
Boring Road,25.51316119457888,85.06305561127087,-90.0741676431735,50.3591748221024,4G
Bailey Road,25.702573197340964,85.09362423377858,-96.89738444801158,12.70152602566184,5G
Boring Canal Road,25.69289463738397,85.18818378675286,-90.94062809275664,37.8637692655705,5G
Phulwari Sharif,25.61611018568184,85.07868268149431,-90.8160796639523,85.86588543389752,4G
Kidwaipuri,25.67538766979344,85.28584055282867,-82.19977879288223,147.20728034747447,3G
Kankarbagh,25.7629142299953,85.13361769885876,-92.45722656727092,34.48187029454439,5G
Anandpuri,25.762372324081724,85.13351549862855,-91.7971668347576,96.9096443996872,4G
Kidwaipuri,25.51087737539921,84.9845086315669,-91.89976395808176,30.562030427346127,5G
Phulwari Sharif,25.656546302459795,84.99335627982207,-89.42712755058069,77.89275439144811,4G
Anisabad,25.705385683877758,85.05043838346711,-95.97295004865536,83.66999551855241,4G
Kidwaipuri,25.66933863560696,85.20006503395628,-86.56146292338926,55.09092464048509,4G
Boring Road,25.613367500309536,85.11251910261608,-93.59488438741158,41.20951509321961,5G
Anandpuri,25.433073752200173,85.0938782804584,-90.93810663634902,79.68452137420834,4G
Fraser Road,25.733106299332658,85.08071319381276,-88.6440001466035,104.04096121209076,LTE
Kidwaipuri,25.64958006162271,85.17455217715487,-93.537354625349,86.64272508886695,4G
Boring Road,25.50629095481033,85.0336300895549,-82.64295583950044,94.8952224116518,4G
Exhibition Road,25.61392352178653,85.03406806962579,-93.0421643611736,121.91511426764836,LTE
Anisabad,25.667522368840565,85.01297602017571,-91.26513642856357,94.07078166980952,4G
Phulwari Sharif,25.72852860002997,85.17659051287977,-86.68374636036894,136.9604194401464,LTE
Gardanibagh,25.5264446437814,85.20384594130385,-85.62067977595959,158.41890906484207,3G
Ashok Rajpath,25.536784348046943,85.16977848316169,-84.6068797362944,88.01449115610674,4G
Gandhi Maidan,25.458039233010982,85.12370139075162,-84.3033422164761,93.86056759417455,4G
Patliputra Colony,25.6346356535093,85.21715099862386,-86.23589069188708,77.70009327401885,4G
Exhibition Road,25.676399306475705,85.1232992972874,-86.45119027632396,192.9485512205285,LTE
Gandhi Maidan,25.54455841167109,85.25291473937293,-98.5673715905352,21.47467499931176,5G
Gandhi Maidan,25.71360710099786,85.18178303001109,-92.68512923599836,16.90675404656581,5G
Patliputra Colony,25.587655850378585,85.1731820041783,-97.4124918153144,93.086549417533,4G
Ashok Rajpath,25.586780388307037,85.22487897002937,-81.07841157528665,186.13838282403012,LTE
Patliputra Colony,25.63621818912384,85.01377211710107,-87.97606482517845,190.0739493560133,3G
Boring Road,25.47057738275717,85.06679281352278,-94.51526529294884,38.9611110196887,5G
Fraser Road,25.695283296534186,85.23462035343319,-95.07784298124838,51.89819736540576,4G
Bailey Road,25.50618577298137,85.07669369642676,-88.17669730478674,193.1531202220833,LTE
Rajendra Nagar,25.719361689749075,85.0348600490424,-101.34168801603796,83.5246211286227,4G
Gardanibagh,25.60253423735025,85.14930969381929,-86.78308920184699,103.72806371089564,LTE
Danapur,25.587041853661457,85.28097950684773,-91.0108320151992,28.220948186465872,5G
Rajendra Nagar,25.655878918012267,85.13908956774631,-93.00829685446688,66.7726649747037,4G
Rajendra Nagar,25.74017333856418,85.20289902318027,-102.38541017825216,10.30836903777709,5G
Fraser Road,25.757340290324795,85.06378099276085,-89.50276269854204,146.17020884343145,LTE
Gandhi Maidan,25.47454106572867,85.14006719708424,-91.43334775537022,167.18578133646264,LTE
Fraser Road,25.65334237122763,85.16660273819073,-91.39272430629664,87.8107988848447,4G
Rajendra Nagar,25.558159796477536,84.96200387501052,-87.85523661544994,49.050453727047895,5G
Kidwaipuri,25.59134289743017,85.02997716285995,-95.79610907072666,15.087085642653268,5G
Gardanibagh,25.53938639573217,85.01565731441055,-83.53706229116054,15.159061135978146,5G
Exhibition Road,25.67859592665518,85.15449218350473,-85.54635557131944,59.37150339875066,4G
Exhibition Road,25.65647365448943,85.0091683393739,-96.9882645757075,30.25106143231184,5G
Phulwari Sharif,25.708128524539877,85.11404077427119,-85.05329789035281,121.61161222913596,3G
Phulwari Sharif,25.716907220643662,85.16263438197906,-86.85685319385982,45.4297357067245,5G
Anisabad,25.66345780611357,85.14721053938234,-85.24565067741507,122.6311885760702,3G
Phulwari Sharif,25.524735810256143,85.13358886270247,-86.81938070197971,67.5214470517281,4G
Boring Road,25.519276436962222,85.08757221349808,-94.3198269708792,120.44667201975756,LTE
Phulwari Sharif,25.699288726814256,85.16537528047232,-93.18220450080383,36.971029534420126,5G
Patliputra Colony,25.509226397804564,85.16341485153696,-96.0167317387098,30.39115294985002,5G
Bankipore,25.640817545220088,85.24367240747262,-85.3034042111157,69.97999078963137,4G
Ashok Rajpath,25.44555260905173,85.11325437615389,-102.152280764505,17.496267735094055,5G
Fraser Road,25.645155514531343,85.1147822432375,-87.75130528706728,176.04901805247405,LTE
Kumhrar,25.750709401007946,85.05219914818741,-85.06397833227766,149.15022385740744,3G
Rajendra Nagar,25.55193620579192,84.99841450941136,-91.90649383010334,75.1835662946188,4G
Kidwaipuri,25.682013066053067,85.25511904440083,-91.54981439421536,86.58205597551324,4G
Gandhi Maidan,25.62951814893258,85.29072965205721,-90.3251370100593,48.68275336107752,5G
S.K. Puri,25.539313966736582,85.17098457127949,-90.59335854570274,126.48486441660134,LTE
Phulwari Sharif,25.67164545200351,85.27284603622587,-86.31551083287115,191.8827470488204,LTE
Patliputra Colony,25.48297759946444,85.11199097407753,-95.78058025618812,184.13396886061375,LTE
Kankarbagh,25.75345359975196,85.18844853459078,-85.20536735287142,112.685513636498,3G
Patliputra Colony,25.51645894484805,85.17738781709312,-82.23194134906429,134.5869291855763,3G
Exhibition Road,25.5978343442578,85.13659317606083,-87.69731344355225,54.0702996558488,4G
Gandhi Maidan,25.530888268515145,85.1371674475566,-93.41942074365666,15.118383595303785,5G
Kankarbagh,25.66489838167921,85.18035577377553,-89.35461655177275,48.02781116901607,5G
Rajendra Nagar,25.599737906254845,85.18067102701896,-84.93534166418387,117.92437329945562,3G
S.K. Puri,25.49349899820608,85.18920347313532,-88.14660024740652,66.34527558638536,4G
Kankarbagh,25.584888603798632,85.1289484268387,-83.22844314055783,57.06297077394223,4G
Anisabad,25.623419609076656,85.12169135029214,-79.57891106259044,180.7487465963801,3G
Anandpuri,25.648642920636146,85.17868076647808,-98.14454184061988,18.25165214532497,5G
Fraser Road,25.74016470339493,85.07083479851245,-85.65730026639747,108.24502867068514,3G
S.K. Puri,25.644157791065066,85.05953237502203,-86.96080983840723,131.30945937555768,LTE
Pataliputra,25.52874987478245,84.99154574066384,-88.44501787698928,80.05400318886794,4G
Boring Road,25.547598354612617,85.09563395530118,-94.99938941427573,34.23646590922558,5G
Boring Road,25.52836801359311,85.07348095664737,-85.58182358787643,138.2558113648742,LTE
Anandpuri,25.77344633100852,85.13429703641097,-91.94381022106202,25.936510381793006,5G
Pataliputra,25.699072203106045,85.24092236649628,-83.70439578077502,98.25756985961516,4G
Bankipore,25.63472801531617,85.21566439597441,-85.24177970030465,144.86302348685993,3G
Phulwari Sharif,25.743845508831708,85.15913782760146,-98.50305579330548,40.73595287219486,5G
Fraser Road,25.670114827615496,85.02259572540808,-81.41743951671042,175.7262953974033,3G
Gardanibagh,25.4600029295151,85.17160464077833,-97.65625616339716,22.572849187530288,5G
Kankarbagh,25.448673236074573,85.22606349002656,-84.13691167139707,152.32675044145395,3G
Gandhi Maidan,25.690106379708038,85.1605833831533,-89.39380618975187,191.32296862792705,3G
Pataliputra,25.63194332753933,85.14642481701019,-86.32869006393285,111.44409619389305,LTE
Exhibition Road,25.734379297612964,85.18958135723231,-88.10825409010076,191.10894059960935,LTE
Anisabad,25.578709584667,85.30216824068384,-90.75714781793172,48.07569231698519,5G
Pataliputra,25.663795950748327,85.16844173874281,-89.67664778726858,185.02516831104268,LTE
Bankipore,25.49465053063401,85.05679320433313,-87.62747576957312,13.307454163745094,5G
Anandpuri,25.65792035754052,84.98466792402397,-87.02889147722806,154.66296235077405,3G
Rajendra Nagar,25.532684298073654,85.25116290837059,-88.8966518334919,142.91236913945886,3G
Ashok Rajpath,25.63981138776846,85.25232686018293,-98.1748369627173,43.83200407771937,5G
Pataliputra,25.661584976839123,85.22061484963982,-92.41209806213648,21.24690743925147,5G
Fraser Road,25.603131132063982,85.26878661965148,-85.88344964865846,129.59242949536525,3G
Anandpuri,25.627831197598013,85.07360630773104,-91.69855661332792,175.73941351321628,LTE
Kidwaipuri,25.54566872271135,84.97935736358936,-85.72348083816733,139.3623038049379,3G
Gardanibagh,25.553993436450725,85.09867490380798,-92.99870642932372,46.27581177826938,5G
Fraser Road,25.52662400709889,85.12975342012093,-97.02073765665902,26.204696802387588,5G
Anandpuri,25.594052816665886,85.27984217434135,-96.60905323035357,13.489388086753804,5G
Exhibition Road,25.49969353042628,85.25605992951759,-93.50592773532316,58.39680522884183,4G
Ashok Rajpath,25.721608977488284,85.07182405864569,-97.37583489673258,12.254267706431715,5G
Exhibition Road,25.648050581060662,85.01732654686359,-82.91302136710267,181.3184670199596,3G
Bankipore,25.455189750468183,85.2166429914243,-88.15131242918312,139.3302706576314,LTE
Exhibition Road,25.66701462274316,85.12309653804675,-93.5118935748726,28.363264259813832,5G
Danapur,25.471592073419245,85.03290423904824,-99.02304261940463,40.62444316890069,5G
Gandhi Maidan,25.634551051538416,85.1366488352161,-90.38574788918623,58.92910197023093,4G
Anisabad,25.58943790391221,85.25618962147166,-94.13970538816872,30.155887931703305,5G
Bailey Road,25.45220089006318,85.02907884348005,-89.56936305302808,65.53158635317466,4G
Bankipore,25.595924072873007,85.01752229938627,-94.18197045191106,20.408931570383004,5G
Pataliputra,25.4531250115632,85.04183049122273,-96.46439497066484,22.002251361804447,5G
Kumhrar,25.484047403697733,85.06797390363504,-85.80686787831331,130.98028293209396,3G
Phulwari Sharif,25.622562198167696,85.21239702959264,-97.6959052175226,17.63916258853143,5G
Rajendra Nagar,25.563630654422376,85.14127616056517,-87.24943422149937,190.1383096641935,3G
Ashok Rajpath,25.418605680419876,85.10457514624252,-93.05413830362173,174.527716253528,LTE
Danapur,25.593011329797875,85.13569951441501,-86.45435711361463,163.93560459780983,LTE
Gardanibagh,25.621411455865864,85.04227816117489,-94.40647206774256,44.56741284833007,5G
S.K. Puri,25.551938312441944,85.07018182832752,-97.000161682897,68.14853984889281,4G
Exhibition Road,25.712420423478985,85.26519906239794,-89.5757968265112,103.8591821526557,3G
Danapur,25.5546551544764,85.15422683897975,-90.35922524628776,59.28631068721869,4G
Ashok Rajpath,25.49559064506761,85.03397072977157,-86.41885069239761,62.13662762248856,4G
Danapur,25.50767730880793,85.23140329216767,-86.4914241300129,142.955325677622,LTE
Rajendra Nagar,25.480913749263305,85.05309501772155,-89.72712301784341,58.80194521004661,4G
Bankipore,25.51333714674212,85.10853627549123,-85.12409100463945,74.03746728319837,4G
Kankarbagh,25.502448873343678,85.0086592258314,-86.23664902537482,109.02413176674172,3G
Danapur,25.429872130778868,85.13965657358402,-98.06409409702832,103.66065761887263,LTE
Rajendra Nagar,25.51529943618788,85.14660297364837,-92.55848568260804,30.049187827654727,5G
Anandpuri,25.752744892729723,85.10784576095936,-81.95068567297932,80.5929000110806,4G
Gandhi Maidan,25.529075139141472,85.09405088542505,-91.78091531022608,26.511382532572974,5G
